Year,State,Metadata
2005,Oregon,"Alternative Fuel Loans, The Oregon Department of Energy administers the Small-Scale Local Energy
Loan Program which offers low-interest loans for qualifying projects.
Eligible alternative fuel projects include fuel production facilities,
dedicated feedstock production, fueling infrastructure, and fleet
vehicles. Loan recipients must complete a loan application and pay a
loan application fee. For more information, see the [Energy Loan
Program](https://www.oregon.gov/energy/incentives/pages/energy-loan-program.aspx)
website.

(Reference [Oregon Revised Statutes 470](https://www.oregonlegislature.gov/bills_laws/Pages/ORS.aspx)), State Incentives, 11.0, BIOD|ETH|ELEC|EFFEC|HY|IR|NG|PHEV|LPG, LOANS, STATION|AFP|FLEET, https://www.oregonlegislature.gov/bills_laws/Pages/ORS.aspx, amended"
2005,Oregon,"Alternative Fuel Vehicle Acquisition (AFV) and Fuel Use Requirements, Beginning January 1, 2025, all new light-duty state agency fleet vehicle
purchases or leases must be all-electric, plug-in hybrid electric, or
hydrogen fuel cell vehicles, to the maximum extent possible. If
purchasing or leasing these vehicles is not feasible, state agencies may
purchase or lease light-duty AFVs or qualifying low-emission vehicles.
Each state agency must develop and report a greenhouse gas reduction
baseline and annual reduction targets to the Oregon Department of
Administrative Services (DAS). Reports to DAS must include the number of
purchases or leases of ZEVs, AFVs, and AFV conversions and the quantity
of each type of alternative fuel used annually by state agency fleets.

(Reference [Executive Order 20-04, 2020](https://www.oregon.gov/gov/Pages/executive-orders.aspx) and [Oregon Revised Statutes 267.030 and 283.327](https://www.oregonlegislature.gov/)), Laws and Regulations, 100.0, BIOD|ETH|ELEC|HY|NG|PHEV|LPG, REQ|CCEINIT, GOV, http://governor.oregon.gov/Gov/exec_orders.shtml|https://www.oregon.gov/gov/Pages/executive-orders.aspx|https://www.oregon.gov/gov/Pages/executive-orders.aspx|https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/bills_laws, amended"
,South Dakota,"Propane Tax Exemption, A licensed biodiesel producer may apply for and obtain a tax refund for
state fuel taxes paid on methanol used to produce biodiesel. For more
information, including how to apply, see the South Dakota Department of
Revenue [Motor Fuel Excise
Tax](https://dor.sd.gov/individuals/taxes/motor-fuel/) website.

(Reference [South Dakota Statutes 10-47B-167](http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx)), State Incentives, 25.0, LPG, EXEM|TAX, STATION|PURCH|FLEET|IND, http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx"
,Oklahoma,"Alternative Fuel Technician Training, The Alternative Fuels Technician Certification Act (Act) regulates the
training, testing, and certification of technicians and trainees who
install, modify, repair, or renovate equipment used in alternative
fueling infrastructure and in the conversion of any engine to operating
on an alternative fuel. Alternative fuels include propane, natural gas,
methanol, ethanol, electricity, hydrogen, biodiesel, and more. This
includes original equipment manufacturer engines dedicated to operating
on an alternative fuel. Electric vehicles (EVs), EV charging
infrastructure, and EV technicians must also comply with the rules and
regulations of this Act.

(Reference [Oklahoma Statutes 40-142.1 through 40-142.16](http://www.oklegislature.gov/)), Laws and Regulations, 110.0, AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG, REGIS, STATION|MAN, http://www.oklegislature.gov/"
2001,Oregon,"Pollution Control Equipment Exemption, Dedicated original equipment manufacturer natural gas vehicles and
all-electric vehicles are not required to be equipped with a certified
pollution control system.

(Reference [Oregon Revised Statutes 815.300](https://www.oregonlegislature.gov/lc/Pages/ORSupdate.aspx)), State Incentives, 16.0, ELEC|NG, EXEM, FLEET|GOV|IND, https://www.oregonlegislature.gov/lc/Pages/ORSupdate.aspx, enacted"
1993,Ohio,"Alternative Fuel Vehicle Conversion, It is unlawful to tamper with vehicle emissions control systems unless
the action is for the purpose of converting a motor vehicle to operate
on an alternative fuel and is in compliance with the standards adopted
under the Clean Air Act Amendments.

(Reference [Ohio Revised Code 3704.16-3704.162](http://codes.ohio.gov/orc/)), Laws and Regulations, 80.0, AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG, AIRQEMISSIONS, MAN|FLEET|GOV|IND, http://codes.ohio.gov/orc/, enacted"
,Pennsylvania,"Alternative Fuels Tax, Alternative fuels used to propel vehicles of any kind on public highways
are taxed at a rate determined on a gasoline gallon equivalent basis.
For more information, including applicable tax rates, see the
Pennsylvania Department of Revenue [Motor and Alternative Fuel
Taxes](https://www.revenue.pa.gov/TaxTypes/MAFT/Pages/default.aspx)
website. Certain exemptions apply.

(Reference [Title 75 Pennsylvania Statutes, Part VI, Chapter 90, Section 9004](http://government.westlaw.com/linkedslice/default.asp?SP=pac-1000)), Laws and Regulations, 70.0, BIOD|ETH|ELEC|HY|NG|PHEV|LPG, FUEL, STATION|PURCH, http://government.westlaw.com/linkedslice/default.asp?SP=pac-1000"
,Oklahoma,"Alternative Fuel Vehicle (AFV) Acquisition Requirements, All school and government fleets may convert their vehicles to operate
on alternative fuels, and all school districts should consider
purchasing only vehicles able to operate on alternative fuels.
Alternative fuels include natural gas, propane, ethanol, methanol,
electricity, biodiesel, hydrogen, and more. School and government
vehicles capable of operating on an alternative fuel must use the fuel
whenever a fueling station is located within a five-mile radius of the
respective school district or government department and the price of the
alternative fuel is cost competitive with the displaced conventional
fuel. If school and government vehicles must be fueled outside the
five-mile radius and no fueling station is reasonably available, the
school and government vehicles are exempt from this requirement.

(Reference [Oklahoma Statutes 74-130.2 and 74-130.3](http://www.oklegislature.gov/)), Laws and Regulations, 100.0, AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG, REQ, FLEET|GOV, http://www.oklegislature.gov/"
2013,Oklahoma,"Alternative Fuel Vehicle (AFV) Tax and Fee, Compressed natural gas (CNG) used in motor vehicles is subject to a
state motor fuel tax of \$0.05 per gasoline gallon equivalent (GGE).
Liquefied natural gas (LNG) is also subject to a state motor fuel tax
rate of \$0.05 per diesel gallon equivalent (DGE).

In lieu of the motor fuel tax, some alternative fuel vehicle (AFV)
owners are subject to a motor vehicle fee. An annual flat fee applies to
passenger automobiles, pickup trucks, vans and heavy-duty vehicles using
propane, natural gas, methanol, or blends of 85% methanol and 15%
gasoline (M85). Propane and natural gas vehicles with a payload capacity
of less than 2,000 pounds (lbs.) are taxed at a rate of \$50 per vehicle
per year. Methanol and M85 vehicles with a payload capacity of less than
2,000 lbs. are taxed at a rate of \$100 per vehicle per year. Propane,
methanol, and M85 vehicles with a payload capacity greater than 2,000
lbs. are taxed at a rate of \$150 per vehicle per year. If the owner
acquires the vehicle or converts it to run on the alternative fuel after
July 1 of the tax year, the flat fee is half of the listed amount. AFVs
must display a decal that the Oklahoma Tax Commission issues on an
annual basis.

(Reference [Oklahoma Statutes 68-500.4 and 68-723](http://www.oklegislature.gov/)), Laws and Regulations, 105.0, NG|OTHER|LPG, FUEL, PURCH|FLEET|IND, http://www.oklegislature.gov/|http://www.oklegislature.gov/, amended"
,South Dakota,"Biodiesel Tax, Biodiesel and biodiesel blends are taxed at the state motor fuel excise
tax rate of \$0.28 per gallon. Beginning the fiscal quarter after which
a biodiesel production facility in the state reaches a name plate
capacity of at least 20 million gallons per year and fully produces at
least 10 million gallons of biodiesel within one year, the tax on
biodiesel and biodiesel blends is reduced to \$0.26 per gallon.
Biodiesel is defined as a fuel comprised of mono-alkyl esters of long
chain fatty acids derived from vegetable oils or animal fats. Biodiesel
must meet the requirements of
[ASTM](https://www.astm.org/Standard/index.html) Standard D6751 and the
U.S. Environmental Protection Agency registration and health effects
testing program, as written January 1, 2008. Biodiesel blends are
defined as blended special fuel containing a minimum of 5% biodiesel
(B5).

(Reference [South Dakota Statutes 10-47B-3 through 10-47B-10](http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx)), Laws and Regulations, 50.0, BIOD, FUEL, PURCH, http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx, amended"
