Document Text,year,location
"
History



Acts 2013, No. 1074, §  1; 2015, No. 1162, §§ 4, 5.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2013,Arkansas
"
History



Acts 2021, No. 872, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2021,Arkansas
"
History



Acts 1979, No. 5, § 2; A.S.A. 1947, § 19-5602; Acts 2001, No. 988, § 1; 2003, No. 366, § 3; 2007, No. 236, § 1; 2009, No. 163, § 5.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1979,Arkansas
"
History



Acts 1983, No. 9, § 2; 1985, No. 929, § 1; A.S.A. 1947, § 82-4402.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1983,Arkansas
"
History



Acts 2019, No. 910, §  2411.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2019,Arkansas
"
History



Acts 1983, No. 377, § 3; A.S.A. 1947, § 53-1503; Acts 2007, No. 554, § 3; 2017, No. 271, § 12; 2019, No. 315, § 1261; 2019, No. 910, § 3180.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1983,Arkansas
"
History



Acts 2005, No. 1761, § 1; 2013, No. 554, § 6; 2019, No. 507, § 4.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2005,Arkansas
"
History



Acts 1979, No. 5, § 11; A.S.A. 1947, § 19-5611.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1979,Arkansas
"
History



Acts 1973, No. 164, §§ 14, 18; 1977, No. 866, § 1; A.S.A. 1947, §§ 73-276.13, 73-276.17; Acts 2011, No. 910, § 5; 2019, No. 315, § 2476.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1973,Arkansas
"
History



Acts 2015, No. 1275, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2015,Arkansas
"
History



Acts 2003, No. 855, § 1; 2019, No. 386, § 33.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2003,Arkansas
"
History



Acts 2023, No. 278, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2023,Arkansas
"
History



Acts 2005, No. 1963, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2005,Arkansas
"
History



Acts 1987, No. 796, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1987,Arkansas
"
History



Acts 1981, No. 7, § 3; A.S.A. 1947, § 5-938; Acts 1997, No. 540, § 35; 2017, No. 271, § 6; 2019, No. 910, § 3055.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1981,Arkansas
"
History



Acts 2015, No. 725, § 3; 2021, No. 404, § 3; 2021, No. 894, § 3.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2015,Arkansas
"
History



Acts 2023, No. 278, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2023,Arkansas
"
History



Acts 1977, No. 402, § 6; A.S.A. 1947, § 19-5406; Acts 1999, No. 1164, § 128; 2019, No. 315, § 1023; 2019, No. 910, § 3040.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1977,Arkansas
"
History



Acts 2003, No. 366, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2003,Arkansas
"
History



Acts 1971, No. 92, § 13; A.S.A. 1947, § 70-913; Acts 1991, No. 1177, § 3; 1995, No. 836, § 6; 2017, No. 986, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1971,Arkansas
"
History



Acts 2023, No. 11, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2023,Arkansas
"Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",Repealed,Arkansas
"
History



Acts 1937, No. 342, § 12; Pope's Dig., § 2326; A.S.A. 1947, § 77-1112; Acts 1999, No. 1556, § 16.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1937,Arkansas
"
History



Acts 2013, No. 1252, § 1; 2015, No. 1060, § 18; 2015, No. 1149, § 6.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2013,Arkansas
"
History



Acts 1973, No. 164, § 5; 1977, No. 866, § 1; A.S.A. 1947, § 73-276.4; Acts 1999, No. 1556, § 9; 2001, No. 324, §§ 7, 8; 2003, No. 204, §§ 12, 13; 2007, No. 658, § 3; 2009, No. 164, § 7; 2011, No. 910, § 6; 2013, No. 1133, § 5; 2019, No. 315, § 2478.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1973,Arkansas
"
History



Acts 1985, No. 1062, § 6.00; 1986 (2nd Ex. Sess.), No. 18, § 2; A.S.A. 1947, § 13-2906; Acts 1987, No. 900, § 5; 2007, No. 593, § 2; 2013, No. 1252, § 4; 2017, No. 824, § 10.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1985,Arkansas
"
History



Acts 1973, No. 164, § 5; 1977, No. 866, § 1; A.S.A. 1947, § 73-276.4; Acts 1997, No. 540, § 88; 1999, No. 1164, § 180; 1999, No. 1351, § 1; 2011, No. 910, § 7; 2017, No. 707, § 265; 2019, No. 315, §§ 2479, 2480; 2019, No. 910, § 3242.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1973,Arkansas
"
History



Acts 2007, No. 873, § 1; 2009, No. 977, § 4; 2019, No. 910, § 55.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2007,Arkansas
"Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",Repealed,Arkansas
"
History



Acts 1971, No. 285, § 2; A.S.A. 1947, § 73-1909; Acts 1991, No. 793, § 2; 1999, No. 1048, § 1; 2001, No. 153, § 1; 2009, No. 452, § 2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1971,Arkansas
"
History



Acts 1979, No. 8, §§ 1, 2; A.S.A. 1947, §§ 4-1201, 4-1202; Acts 1991, No. 15, § 1; 1991, No. 995, § 2; 1992 (1st Ex. Sess.), No. 32, § 1; 1993, No. 517, § 2; 1995, No. 1330, § 1; 2001, No. 627, § 3; 2003, No. 24, § 2; 2003, No. 380, § 1; 2003, No. 1473, § 19.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1979,Arkansas
"
History



Acts 2021, No. 1100, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2021,Arkansas
"
History



Acts 1997, No. 816, § 2; 2011, No. 859, § 12.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1997,Arkansas
"
History



Acts 1983, No. 377, § 2; A.S.A. 1947, § 53-1502; Acts 2007, No. 554, §§ 1, 2; 2017, No. 271, §§ 10, 11; 2019, No. 910, §§ 3178, 3179.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1983,Arkansas
"
History



Acts 2005, No. 1770, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2005,Arkansas
"
History



Acts 2021, No. 594, §  4.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2021,Arkansas
