Statute,Document Link,state
"Title 33, Chapter 28-A: SOLAR RIGHTS",https://legislature.maine.gov/legis/statutes/33/title33ch28-Asec0.html,Maine
"Title 5, §5013: State energy efficacy standards for fluorescent lighting",https://legislature.maine.gov/legis/statutes/5/title5sec5013.html,Maine
"Title 38, §1610: Electronic waste",https://legislature.maine.gov/legis/statutes/38/title38sec1610.html,Maine
"Title 35-A, §301: Safe facilities; just and reasonable rates",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec301.html,Maine
"Title 10, §1491: Legislative findings and purpose",https://legislature.maine.gov/legis/statutes/10/title10sec1491.html,Maine
"Title 30-A, §4451: Training and certification for code enforcement officers",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec4451.html,Maine
"Title 35-A, §10110: Electric efficiency and conservation programs",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10110.html,Maine
"Title 14, §6045: Disclosure of transmission and distribution utility costs",https://legislature.maine.gov/legis/statutes/14/title14sec6045.html,Maine
"Title 30-A, §4405: Access to direct sunlight",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec4405.html,Maine
"Title 35-A, §10123: School decarbonization program",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10123.html,Maine
"Title 5, §282: Powers and duties of commissioner",https://legislature.maine.gov/legis/statutes/5/title5sec282.html,Maine
"Title 35-A, §4352: Definitions",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec4352.html,Maine
"Title 20-A, §15915: Energy service companies and 3rd-party financing",https://legislature.maine.gov/legis/statutes/20-A/title20-Asec15915.html,Maine
"Title 10, §203: Injunction proceedings",https://legislature.maine.gov/legis/statutes/10/title10sec203.html,Maine
"Title 13, §1764: Housing assistance programs",https://legislature.maine.gov/legis/statutes/13/title13sec1764.html,Maine
"Title 38, §969: Saco River Corridor Fund",https://legislature.maine.gov/legis/statutes/38/title38sec969.html,Maine
"Title 38, §1451: Definitions",https://legislature.maine.gov/legis/statutes/38/title38sec1451.html,Maine
"Title 35-A, §101: Statement of purpose",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec101.html,Maine
"Title 20-A, §3801: General provisions",https://legislature.maine.gov/legis/statutes/20-A/title20-Asec3801.html,Maine
"Title 35-A, §3147: Integrated grid planning",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3147.html,Maine
"Title 10, §9721: Definitions",https://legislature.maine.gov/legis/statutes/10/title10sec9721.html,Maine
Title 38: WATERS AND NAVIGATION,https://legislature.maine.gov/legis/statutes/38/title38ch0sec0.html,Maine
"Title 35-A, Chapter 44: MAINE SURPLUS ENERGY AUCTION PROGRAM",https://legislature.maine.gov/legis/statutes/35-A/title35-Ach44sec0.html,Maine
"Title 36, §3202: Definitions",https://legislature.maine.gov/legis/statutes/36/title36sec3202.html,Maine
"Title 35-A, §3623: Combined heat and power program",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3623.html,Maine
"Title 35-A, §3452-A: Impact on Bicknell's Thrush habitat; adverse effect",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3452-A.html,Maine
"Title 32, §8022: Definitions",https://legislature.maine.gov/legis/statutes/32/title32sec8022.html,Maine
