Statute,Document Link,state
Section 35.82,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-35-82&highlight=energy&queryID=170095218,Michigan
Section 125.1508a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-1508a&highlight=energy&queryID=170095218,Michigan
Section 445.2028,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-445-2028&highlight=energy&queryID=170095218,Michigan
Section 141.433a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-141-433a&highlight=energy&queryID=170095218,Michigan
Section 125.2002,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-2002&highlight=energy&queryID=170095218,Michigan
Section 560.210,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-560-210&highlight=energy&queryID=170095218,Michigan
Section 750.222,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-750-222&highlight=energy&queryID=170095218,Michigan
Section 460.843,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-843&highlight=energy&queryID=170095218,Michigan
Section 460.801,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-801&highlight=energy&queryID=170095218,Michigan
Section 339.5737,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-339-5737&highlight=energy&queryID=170095218,Michigan
Act 34 of 1984,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-Act-34-of-1984&highlight=energy&queryID=170095218,Michigan
Section 324.30701,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-30701&highlight=energy&queryID=170095218,Michigan
Section 460.6a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-6a&highlight=energy&queryID=170095218,Michigan
Section 460.937,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-937&highlight=energy&queryID=170095218,Michigan
Section 324.32901,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-32901&highlight=energy&queryID=170095218,Michigan
295-2008-7.,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-295-2008-7.&highlight=energy&queryID=170095218,Michigan
Section 125.3503,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-3503&highlight=energy&queryID=170095218,Michigan
Section 333.26202,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-333-26202&highlight=energy&queryID=170095218,Michigan
Section 3.991,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-3-991&highlight=energy&queryID=170095218,Michigan
Act 108 of 2023,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-Act-108-of-2023&highlight=energy&queryID=170095218,Michigan
Section 125.4403,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-4403&highlight=energy&queryID=170095218,Michigan
Section 125.2001,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-2001&highlight=energy&queryID=170095218,Michigan
Section 141.881a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-141-881a&highlight=energy&queryID=170095218,Michigan
Section 560.290,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-560-290&highlight=energy&queryID=170095218,Michigan
Section 324.19103,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-19103&highlight=energy&queryID=170095218,Michigan
Section 10.84,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-10-84&highlight=energy&queryID=170095218,Michigan
Section 41.75b,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-41-75b&highlight=energy&queryID=170095218,Michigan
295-2008-2-B.,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-295-2008-2-B.&highlight=energy&queryID=170095218,Michigan
